Luciferin (uM),wt_rfu,wt_stdev,156_rfu,156_stdev,186_rfu,186_stdev,blank_rfu,blank_stdev
0,14.33333333,3.055050463,11.66666667,2.309401077,14.66666667,2.516611478,13.33333333,2.309401077
0.342935528,6822,231.5145784,128.6666667,27.39221301,173,24.97999199,21.66666667,0.577350269
1.028806584,16920,459.9902173,359.6666667,50.63924697,444,36.04164258,48.33333333,12.50333289
3.086419753,29714.66667,644.3852367,587.6666667,77.6552209,854.6666667,103.7802165,100.3333333,48.01388688
9.259259259,33342.33333,1589.15208,762.3333333,79.43131205,999.3333333,83.54838917,44.66666667,3.511884584
27.77777778,36699.33333,775.7540418,965,109.4212045,1266,95.2470472,82.66666667,14.50287328
83.33333333,34487.66667,985.7181815,847,132.0113631,1176,88.0170438,48,13.11487705
250,34648.66667,1077.302341,1011.333333,171.5935119,1266,113.6089785,52.66666667,10.11599394
750,29901.66667,809.1948673,1089.666667,100.1715196,1218.333333,145.3318043,190.3333333,120.1055092
